,0
964,px_241_face
965,py_241_face
966,dx_241_face
967,dy_241_face
968,px_242_face
969,py_242_face
970,dx_242_face
971,dy_242_face
972,px_243_face
973,py_243_face
974,dx_243_face
975,dy_243_face
976,px_244_face
977,py_244_face
978,dx_244_face
979,dy_244_face
980,px_245_face
981,py_245_face
982,dx_245_face
983,dy_245_face
984,px_246_face
985,py_246_face
986,dx_246_face
987,dy_246_face
988,px_247_face
989,py_247_face
990,dx_247_face
991,dy_247_face
992,px_248_face
993,py_248_face
994,dx_248_face
995,dy_248_face
996,px_249_face
997,py_249_face
998,dx_249_face
999,dy_249_face
1000,px_250_face
1001,py_250_face
1002,dx_250_face
1003,dy_250_face
1004,px_251_face
1005,py_251_face
1006,dx_251_face
1007,dy_251_face
1008,px_252_face
1009,py_252_face
1010,dx_252_face
1011,dy_252_face
1012,px_253_face
1013,py_253_face
1014,dx_253_face
1015,dy_253_face
1016,px_254_face
1017,py_254_face
1018,dx_254_face
1019,dy_254_face
1020,px_255_face
1021,py_255_face
1022,dx_255_face
1023,dy_255_face
1024,px_256_face
1025,py_256_face
1026,dx_256_face
1027,dy_256_face
1028,px_257_face
1029,py_257_face
1030,dx_257_face
1031,dy_257_face
1032,px_258_face
1033,py_258_face
1034,dx_258_face
1035,dy_258_face
1036,px_259_face
1037,py_259_face
1038,dx_259_face
1039,dy_259_face
1040,px_260_face
1041,py_260_face
1042,dx_260_face
1043,dy_260_face
1044,px_261_face
1045,py_261_face
1046,dx_261_face
1047,dy_261_face
1048,px_262_face
1049,py_262_face
1050,dx_262_face
1051,dy_262_face
1052,px_263_face
1053,py_263_face
1054,dx_263_face
1055,dy_263_face
1056,px_264_face
1057,py_264_face
1058,dx_264_face
1059,dy_264_face
1060,px_265_face
1061,py_265_face
1062,dx_265_face
1063,dy_265_face
1064,px_266_face
1065,py_266_face
1066,dx_266_face
1067,dy_266_face
1068,px_267_face
1069,py_267_face
1070,dx_267_face
1071,dy_267_face
1072,px_268_face
1073,py_268_face
1074,dx_268_face
1075,dy_268_face
1076,px_269_face
1077,py_269_face
1078,dx_269_face
1079,dy_269_face
1080,px_270_face
1081,py_270_face
1082,dx_270_face
1083,dy_270_face
1084,px_271_face
1085,py_271_face
1086,dx_271_face
1087,dy_271_face
1088,px_272_face
1089,py_272_face
1090,dx_272_face
1091,dy_272_face
1092,px_273_face
1093,py_273_face
1094,dx_273_face
1095,dy_273_face
1096,px_274_face
1097,py_274_face
1098,dx_274_face
1099,dy_274_face
1100,px_275_face
1101,py_275_face
1102,dx_275_face
1103,dy_275_face
1104,px_276_face
1105,py_276_face
1106,dx_276_face
1107,dy_276_face
1108,px_277_face
1109,py_277_face
1110,dx_277_face
1111,dy_277_face
1112,px_278_face
1113,py_278_face
1114,dx_278_face
1115,dy_278_face
1116,px_279_face
1117,py_279_face
1118,dx_279_face
1119,dy_279_face
1120,px_280_face
1121,py_280_face
1122,dx_280_face
1123,dy_280_face
1124,px_281_face
1125,py_281_face
1126,dx_281_face
1127,dy_281_face
1128,px_282_face
1129,py_282_face
1130,dx_282_face
1131,dy_282_face
1132,px_283_face
1133,py_283_face
1134,dx_283_face
1135,dy_283_face
1136,px_284_face
1137,py_284_face
1138,dx_284_face
1139,dy_284_face
1140,px_285_face
1141,py_285_face
1142,dx_285_face
1143,dy_285_face
1144,px_286_face
1145,py_286_face
1146,dx_286_face
1147,dy_286_face
1148,px_287_face
1149,py_287_face
1150,dx_287_face
1151,dy_287_face
1152,px_288_face
1153,py_288_face
1154,dx_288_face
1155,dy_288_face
1156,px_289_face
1157,py_289_face
1158,dx_289_face
1159,dy_289_face
1160,px_290_face
1161,py_290_face
1162,dx_290_face
1163,dy_290_face
1164,px_291_face
1165,py_291_face
1166,dx_291_face
1167,dy_291_face
1168,px_292_face
1169,py_292_face
1170,dx_292_face
1171,dy_292_face
1172,px_293_face
1173,py_293_face
1174,dx_293_face
1175,dy_293_face
1176,px_294_face
1177,py_294_face
1178,dx_294_face
1179,dy_294_face
1180,px_295_face
1181,py_295_face
1182,dx_295_face
1183,dy_295_face
1184,px_296_face
1185,py_296_face
1186,dx_296_face
1187,dy_296_face
1188,px_297_face
1189,py_297_face
1190,dx_297_face
1191,dy_297_face
1192,px_298_face
1193,py_298_face
1194,dx_298_face
1195,dy_298_face
1196,px_299_face
1197,py_299_face
1198,dx_299_face
1199,dy_299_face
1200,px_300_face
1201,py_300_face
1202,dx_300_face
1203,dy_300_face
1204,px_301_face
1205,py_301_face
1206,dx_301_face
1207,dy_301_face
1208,px_302_face
1209,py_302_face
1210,dx_302_face
1211,dy_302_face
1212,px_303_face
1213,py_303_face
1214,dx_303_face
1215,dy_303_face
1216,px_304_face
1217,py_304_face
1218,dx_304_face
1219,dy_304_face
1220,px_305_face
1221,py_305_face
1222,dx_305_face
1223,dy_305_face
1224,px_306_face
1225,py_306_face
1226,dx_306_face
1227,dy_306_face
1228,px_307_face
1229,py_307_face
1230,dx_307_face
1231,dy_307_face
1232,px_308_face
1233,py_308_face
1234,dx_308_face
1235,dy_308_face
1236,px_309_face
1237,py_309_face
1238,dx_309_face
1239,dy_309_face
1240,px_310_face
1241,py_310_face
1242,dx_310_face
1243,dy_310_face
1244,px_311_face
1245,py_311_face
1246,dx_311_face
1247,dy_311_face
1248,px_312_face
