,0
1363,dy_286_face
1364,px_287_face
1365,py_287_face
1366,dx_287_face
1367,dy_287_face
1368,px_288_face
1369,py_288_face
1370,dx_288_face
1371,dy_288_face
1372,px_289_face
1373,py_289_face
1374,dx_289_face
1375,dy_289_face
1376,px_290_face
1377,py_290_face
1378,dx_290_face
1379,dy_290_face
1380,px_291_face
1381,py_291_face
1382,dx_291_face
1383,dy_291_face
1384,px_292_face
1385,py_292_face
1386,dx_292_face
1387,dy_292_face
1388,px_293_face
1389,py_293_face
1390,dx_293_face
1391,dy_293_face
1392,px_294_face
1393,py_294_face
1394,dx_294_face
1395,dy_294_face
1396,px_295_face
1397,py_295_face
1398,dx_295_face
1399,dy_295_face
1400,px_296_face
1401,py_296_face
1402,dx_296_face
1403,dy_296_face
1404,px_297_face
1405,py_297_face
1406,dx_297_face
1407,dy_297_face
1408,px_298_face
1409,py_298_face
1410,dx_298_face
1411,dy_298_face
1412,px_299_face
1413,py_299_face
1414,dx_299_face
1415,dy_299_face
1416,px_300_face
1417,py_300_face
1418,dx_300_face
1419,dy_300_face
1420,px_301_face
1421,py_301_face
1422,dx_301_face
1423,dy_301_face
1424,px_302_face
1425,py_302_face
1426,dx_302_face
1427,dy_302_face
1428,px_303_face
1429,py_303_face
1430,dx_303_face
1431,dy_303_face
1432,px_304_face
1433,py_304_face
1434,dx_304_face
1435,dy_304_face
1436,px_305_face
1437,py_305_face
1438,dx_305_face
1439,dy_305_face
1440,px_306_face
1441,py_306_face
1442,dx_306_face
1443,dy_306_face
1444,px_307_face
1445,py_307_face
1446,dx_307_face
1447,dy_307_face
1448,px_308_face
1449,py_308_face
1450,dx_308_face
1451,dy_308_face
1452,px_309_face
1453,py_309_face
1454,dx_309_face
1455,dy_309_face
1456,px_310_face
1457,py_310_face
1458,dx_310_face
1459,dy_310_face
1460,px_311_face
1461,py_311_face
1462,dx_311_face
1463,dy_311_face
1464,px_312_face
1465,py_312_face
1466,dx_312_face
1467,dy_312_face
1468,px_313_face
1469,py_313_face
1470,dx_313_face
1471,dy_313_face
1472,px_314_face
1473,py_314_face
1474,dx_314_face
1475,dy_314_face
1476,px_315_face
1477,py_315_face
1478,dx_315_face
1479,dy_315_face
1480,px_316_face
1481,py_316_face
1482,dx_316_face
1483,dy_316_face
1484,px_317_face
1485,py_317_face
1486,dx_317_face
1487,dy_317_face
1488,px_318_face
1489,py_318_face
1490,dx_318_face
1491,dy_318_face
1492,px_319_face
1493,py_319_face
1494,dx_319_face
1495,dy_319_face
1496,px_320_face
1497,py_320_face
1498,dx_320_face
1499,dy_320_face
1500,px_321_face
1501,py_321_face
1502,dx_321_face
1503,dy_321_face
1504,px_322_face
1505,py_322_face
1506,dx_322_face
1507,dy_322_face
1508,px_323_face
1509,py_323_face
1510,dx_323_face
1511,dy_323_face
1512,px_324_face
1513,py_324_face
1514,dx_324_face
1515,dy_324_face
